id,cluster,title,owner_team,blocking_dependencies,parallelizable_cluster,estimated_complexity,risk_level,merge_risk_score,ci_gates,produced_artifacts
C00-001,C00,Inventory latest repository tree and classify source/generated files,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-001.md
C00-002,C00,"Parse pyproject, package metadata, Makefile, uv.lock, and CLI entrypoints",platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-002.md
C00-003,C00,Inventory skills directory and validate every SKILL.md candidate,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-003.md
C00-004,C00,Inventory MCP configs and normalize current MCP server records,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-004.md
C00-005,C00,Inventory harness-specific directories and claim support tiers,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-005.md
C00-006,C00,Detect README/raw-rendered quickstart drift and command inconsistencies,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-006.md
C00-007,C00,Inventory docs and AI instruction files,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-007.md
C00-008,C00,Inventory tests/CI workflows/pre-commit quality gates,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-008.md
C00-009,C00,Inventory existing OpenSpec assets without overwriting them,openspec-governance,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-009.md
C00-010,C00,Generate repo-sync inventory JSON,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-010.md
C00-011,C00,Generate initial drift report between planning bundle and live repo,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-011.md
C00-012,C00,Reconcile OpenSpec active changes with planning docs,openspec-governance,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-012.md
C00-013,C00,Create OpenSpec-to-task-graph mapping table,openspec-governance,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-013.md
C00-014,C00,Freeze support-tier vocabulary,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-014.md
C00-015,C00,Publish repo-sync analysis doc,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-015.md
C00-016,C00,Define branch/PR naming convention for overhaul work,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-016.md
C00-017,C00,Create conflict-surface map for generated docs and harness configs,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-017.md
C00-018,C00,Add repo-sync CI smoke test fixture,platform-core,,C00,S,medium,2,schema;docs-truth,planning/artifacts/C00-018.md
C01-001,C01,Define canonical harness registry JSON/YAML schema,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-001.md
C01-002,C01,Define canonical skill registry schema,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-002.md
C01-003,C01,Define canonical MCP registry schema,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-003.md
C01-004,C01,Define plugin/extension registry schema,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-004.md
C01-005,C01,Define docs artifact registry schema,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-005.md
C01-006,C01,Define external capability catalog schema,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-006.md
C01-007,C01,Define support-tier validation rules,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-007.md
C01-008,C01,Define capability graph model and edges,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-008.md
C01-009,C01,Implement registry loader and resolver interface design,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-009.md
C01-010,C01,Create generated harness support matrix,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-010.md
C01-011,C01,Create generated skill support matrix,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-011.md
C01-012,C01,Create generated MCP risk matrix,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-012.md
C01-013,C01,Create registry schema tests,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-013.md
C01-014,C01,Create registry golden fixture set,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-014.md
C01-015,C01,Add registry docs generation plan,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-015.md
C01-016,C01,Add registry drift-detection plan,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-016.md
C01-017,C01,Add registry diff report UX spec,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-017.md
C01-018,C01,Lock registry schema version v1,platform-core,C00-010,C01,M,medium,3,schema;golden-fixtures,planning/artifacts/C01-018.md
C02-001,C02,Normalize all local skills to Agent Skills package model,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-001.md
C02-002,C02,Validate required SKILL.md frontmatter fields,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-002.md
C02-003,C02,Move heavy reference content into references/assets for progressive disclosure,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-003.md
C02-004,C02,Inventory scripts and classify execution risk,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-004.md
C02-005,C02,Add CLI conformance fixture for each script-backed skill,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-005.md
C02-006,C02,Define skill lockfile schema with source/ref/checksum,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-006.md
C02-007,C02,Design npx skills lifecycle wrapper commands,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-007.md
C02-008,C02,Evaluate skills.sh registry metadata and trust fields,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-008.md
C02-009,C02,Evaluate Microsoft skills repo for reusable patterns,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-009.md
C02-010,C02,Evaluate GitHub Awesome Copilot skills and agents,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-010.md
C02-011,C02,Evaluate CrewAI skills pack,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-011.md
C02-012,C02,Evaluate tech-leads agent-skills lockfile/hash patterns,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-012.md
C02-013,C02,Create external skill adoption rubric,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-013.md
C02-014,C02,Create skill signing/provenance plan,skills-team,C01-002,C02,M,high,3,skill-validation;cli-conformance,planning/artifacts/C02-014.md
C02-015,C02,Create skill update/rollback semantics,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-015.md
C02-016,C02,Add skill install preview UX,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-016.md
C02-017,C02,Add skill audit command spec,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-017.md
C02-018,C02,Add skill docs generation spec,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-018.md
C02-019,C02,Add skill security policy to AGENTS.md draft,skills-team,C01-002,C02,M,high,3,skill-validation;cli-conformance,planning/artifacts/C02-019.md
C02-020,C02,Add skill-vs-MCP replacement report,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-020.md
C02-021,C02,Add skill fixture mode guidance,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-021.md
C02-022,C02,Add skill telemetry/redaction guidance,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-022.md
C02-023,C02,Create skill inventory JSON generator task,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-023.md
C02-024,C02,Create first cohort of high-value adopted/adapted skills,skills-team,C01-002,C02,M,medium,3,skill-validation;cli-conformance,planning/artifacts/C02-024.md
C03-001,C03,Scan Glama MCP index for candidate live-systems servers,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-001.md
C03-002,C03,Scan PulseMCP index for candidate live-systems servers,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-002.md
C03-003,C03,Scan MCP.so for candidate live-systems servers,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-003.md
C03-004,C03,Scan Awesome MCP lists and extract high-signal upstream repos,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-004.md
C03-005,C03,Normalize current repo MCP inventory into MCP registry,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-005.md
C03-006,C03,Classify every MCP by domain and live-state necessity,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-006.md
C03-007,C03,"Classify transport: stdio, Streamable HTTP, deprecated SSE, other",mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-007.md
C03-008,C03,Classify auth model and secret requirements,mcp-team,C01-003,C03,M,high,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-008.md
C03-009,C03,Mark static/redundant MCPs for skill replacement,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-009.md
C03-010,C03,Promote browser automation MCP candidates for review,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-010.md
C03-011,C03,Promote docs/search MCP candidates for review,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-011.md
C03-012,C03,Promote GitHub/CI/cloud MCP candidates for review,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-012.md
C03-013,C03,Reject or quarantine broad filesystem MCPs unless narrowly justified,mcp-team,C01-003,C03,M,high,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-013.md
C03-014,C03,Run mcp-scan or equivalent scanner on current MCP configs,mcp-team,C01-003,C03,M,high,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-014.md
C03-015,C03,Define MCP sandbox policy,mcp-team,C01-003,C03,M,high,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-015.md
C03-016,C03,Define MCP pinning and tool-description diff policy,mcp-team,C01-003,C03,M,high,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-016.md
C03-017,C03,Create MCP smoke test harness,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-017.md
C03-018,C03,Create MCP risk matrix docs,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-018.md
C03-019,C03,Create MCP deprecation/rollback plan,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-019.md
C03-020,C03,Create MCP index refresh job spec,mcp-team,C01-003,C03,M,high,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-020.md
C03-021,C03,Create MCP security exception template,mcp-team,C01-003,C03,M,high,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-021.md
C03-022,C03,Create per-harness MCP projection fixtures,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-022.md
C03-023,C03,Add MCP audit docs to README/docs plan,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-023.md
C03-024,C03,Define uvx/npx install normalization for MCP servers,mcp-team,C01-003,C03,M,medium,3,mcp-schema;mcp-smoke;security-scan,planning/artifacts/C03-024.md
C04-001,C04,Claude Code: Validate repo artifacts and support tier,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-code.md;tests/fixtures/harnesses/claude-code/
C04-002,C04,Claude Code: Map official extension/plugin/config surfaces,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-code.md;tests/fixtures/harnesses/claude-code/
C04-003,C04,Claude Code: Define skill projection behavior,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-code.md;tests/fixtures/harnesses/claude-code/
C04-004,C04,Claude Code: Define MCP projection behavior and constraints,harness-claude,C01-001;C02-001;C03-005,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-code.md;tests/fixtures/harnesses/claude-code/
C04-005,C04,Claude Code: Define instruction/rules/doc projection behavior,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-code.md;tests/fixtures/harnesses/claude-code/
C04-006,C04,Claude Code: Create golden config fixtures,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-code.md;tests/fixtures/harnesses/claude-code/
C04-007,C04,Claude Code: Create harness-specific setup docs,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-code.md;tests/fixtures/harnesses/claude-code/
C04-008,C04,Claude Code: Create drift detection and repair behavior,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-code.md;tests/fixtures/harnesses/claude-code/
C04-009,C04,Claude Code: Create rollback validation fixture,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-code.md;tests/fixtures/harnesses/claude-code/
C04-010,C04,Claude Desktop: Validate repo artifacts and support tier,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-desktop.md;tests/fixtures/harnesses/claude-desktop/
C04-011,C04,Claude Desktop: Map official extension/plugin/config surfaces,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-desktop.md;tests/fixtures/harnesses/claude-desktop/
C04-012,C04,Claude Desktop: Define skill projection behavior,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-desktop.md;tests/fixtures/harnesses/claude-desktop/
C04-013,C04,Claude Desktop: Define MCP projection behavior and constraints,harness-claude,C01-001;C02-001;C03-005,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-desktop.md;tests/fixtures/harnesses/claude-desktop/
C04-014,C04,Claude Desktop: Define instruction/rules/doc projection behavior,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-desktop.md;tests/fixtures/harnesses/claude-desktop/
C04-015,C04,Claude Desktop: Create golden config fixtures,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-desktop.md;tests/fixtures/harnesses/claude-desktop/
C04-016,C04,Claude Desktop: Create harness-specific setup docs,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-desktop.md;tests/fixtures/harnesses/claude-desktop/
C04-017,C04,Claude Desktop: Create drift detection and repair behavior,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-desktop.md;tests/fixtures/harnesses/claude-desktop/
C04-018,C04,Claude Desktop: Create rollback validation fixture,harness-claude,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/claude-desktop.md;tests/fixtures/harnesses/claude-desktop/
C04-019,C04,ChatGPT: Validate repo artifacts and support tier,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/chatgpt.md;tests/fixtures/harnesses/chatgpt/
C04-020,C04,ChatGPT: Map official extension/plugin/config surfaces,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/chatgpt.md;tests/fixtures/harnesses/chatgpt/
C04-021,C04,ChatGPT: Define skill projection behavior,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/chatgpt.md;tests/fixtures/harnesses/chatgpt/
C04-022,C04,ChatGPT: Define MCP projection behavior and constraints,harness-openai,C01-001;C02-001;C03-005,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/chatgpt.md;tests/fixtures/harnesses/chatgpt/
C04-023,C04,ChatGPT: Define instruction/rules/doc projection behavior,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/chatgpt.md;tests/fixtures/harnesses/chatgpt/
C04-024,C04,ChatGPT: Create golden config fixtures,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/chatgpt.md;tests/fixtures/harnesses/chatgpt/
C04-025,C04,ChatGPT: Create harness-specific setup docs,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/chatgpt.md;tests/fixtures/harnesses/chatgpt/
C04-026,C04,ChatGPT: Create drift detection and repair behavior,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/chatgpt.md;tests/fixtures/harnesses/chatgpt/
C04-027,C04,ChatGPT: Create rollback validation fixture,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/chatgpt.md;tests/fixtures/harnesses/chatgpt/
C04-028,C04,OpenAI Codex: Validate repo artifacts and support tier,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/codex.md;tests/fixtures/harnesses/codex/
C04-029,C04,OpenAI Codex: Map official extension/plugin/config surfaces,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/codex.md;tests/fixtures/harnesses/codex/
C04-030,C04,OpenAI Codex: Define skill projection behavior,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/codex.md;tests/fixtures/harnesses/codex/
C04-031,C04,OpenAI Codex: Define MCP projection behavior and constraints,harness-openai,C01-001;C02-001;C03-005,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/codex.md;tests/fixtures/harnesses/codex/
C04-032,C04,OpenAI Codex: Define instruction/rules/doc projection behavior,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/codex.md;tests/fixtures/harnesses/codex/
C04-033,C04,OpenAI Codex: Create golden config fixtures,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/codex.md;tests/fixtures/harnesses/codex/
C04-034,C04,OpenAI Codex: Create harness-specific setup docs,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/codex.md;tests/fixtures/harnesses/codex/
C04-035,C04,OpenAI Codex: Create drift detection and repair behavior,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/codex.md;tests/fixtures/harnesses/codex/
C04-036,C04,OpenAI Codex: Create rollback validation fixture,harness-openai,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/codex.md;tests/fixtures/harnesses/codex/
C04-037,C04,GitHub Copilot Web: Validate repo artifacts and support tier,harness-copilot,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/github-copilot-web.md;tests/fixtures/harnesses/github-copilot-web/
C04-038,C04,GitHub Copilot Web: Map official extension/plugin/config surfaces,harness-copilot,C01-001;C02-001,C04,M,medium,4,harness-fixtures;docs-truth,planning/20-harness-registry/github-copilot-web.md;tests/fixtures/harnesses/github-copilot-web/
